alcaldia_catalogo,colonia_catalogo,total_incidencias,total_delitos,total_alumbrado,total_delitos_nocturnos,out_iqr_total_incidencias,out_zscore_total_incidencias,out_iqr_total_delitos,out_zscore_total_delitos,out_iqr_total_alumbrado,out_zscore_total_alumbrado,out_iqr_total_delitos_nocturnos,out_zscore_total_delitos_nocturnos,anomaly_score,out_isoforest,out_iqr_any,out_zscore_any,outlier_consenso
Benito Juárez,San Pedro De Los Pinos,82,404,12.0,80.0,True,False,True,False,True,False,True,False,-0.03683639021660523,True,True,False,True
Benito Juárez,San Simon Ticumac,35,214,8.0,63.0,False,False,True,False,True,False,True,False,0.07629253284285392,False,True,False,False
Benito Juárez,Santa Cruz Atoyac,46,531,10.0,108.0,False,False,True,False,True,False,True,False,-0.042026876675246405,True,True,False,True
Benito Juárez,Santa Maria Nonoalco,39,169,1.0,53.0,False,False,False,False,False,False,False,False,0.13206210490385878,False,False,False,False
Benito Juárez,Tlacoquemecatl,32,191,1.0,35.0,False,False,False,False,False,False,False,False,0.13492121930457357,False,False,False,False
Benito Juárez,Vertiz Narvarte,21,110,1.0,20.0,False,False,False,False,False,False,False,False,0.17681327935347924,False,False,False,False
Benito Juárez,Viaducto Piedad,2,7,0.0,3.0,False,False,False,False,False,False,False,False,0.20448702482230985,False,False,False,False
Benito Juárez,Villa De Cortes,21,46,7.0,15.0,False,False,False,False,True,False,False,False,0.13343003371099538,False,True,False,False
Benito Juárez,Xoco,18,420,1.0,105.0,False,False,True,False,False,False,True,False,-0.0002638723211234595,True,True,False,True
Coyoacán,Adolfo Ruiz Cortinez,61,147,13.0,56.0,True,False,False,False,True,False,False,False,0.005398899865202478,False,True,False,False
Coyoacán,Ajusco,139,578,28.0,175.0,True,False,True,False,True,True,True,True,-0.16521886095013694,True,True,True,True
Coyoacán,Alianza Popular Revolucionaria,58,114,18.0,36.0,False,False,False,False,True,False,False,False,-0.026331802860706133,True,True,False,True
Coyoacán,Atlantida,9,53,1.0,15.0,False,False,False,False,False,False,False,False,0.21411197064346799,False,False,False,False
Coyoacán,Avante,64,133,10.0,34.0,True,False,False,False,True,False,False,False,0.05244219319996102,False,True,False,False
Coyoacán,Barrio Del Niño Jesus,11,51,0.0,14.0,False,False,False,False,False,False,False,False,0.21498047316751373,False,False,False,False
Coyoacán,Barrio La Concepcion,10,59,0.0,17.0,False,False,False,False,False,False,False,False,0.2116600405991642,False,False,False,False
Coyoacán,Barrio Oxtopulco Universidad,9,109,0.0,30.0,False,False,False,False,False,False,False,False,0.1801339476494888,False,False,False,False
Coyoacán,Barrio San Lucas,21,50,0.0,16.0,False,False,False,False,False,False,False,False,0.20630022422719796,False,False,False,False
Coyoacán,Barrio Santa Catarina,28,148,3.0,32.0,False,False,False,False,False,False,False,False,0.1500140354962703,False,False,False,False
Coyoacán,Bosques De Tetlameya,16,12,2.0,6.0,False,False,False,False,False,False,False,False,0.18317877709699,False,False,False,False
Coyoacán,Cafetales,14,40,6.0,9.0,False,False,False,False,True,False,False,False,0.14088796742706877,False,True,False,False
Coyoacán,Campestre Churubusco,60,329,9.0,101.0,True,False,True,False,True,False,True,False,0.004925343792992143,False,True,False,False
Coyoacán,Campestre Coyoacan,3,11,0.0,2.0,False,False,False,False,False,False,False,False,0.2062594083207705,False,False,False,False
Coyoacán,Cantil Del Pedregal,17,12,3.0,5.0,False,False,False,False,False,False,False,False,0.16851547221626773,False,False,False,False
Coyoacán,Carmen Serdan,20,79,0.0,22.0,False,False,False,False,False,False,False,False,0.19516800899851028,False,False,False,False
Coyoacán,Churubusco Country Club,11,75,1.0,19.0,False,False,False,False,False,False,False,False,0.20401263294831484,False,False,False,False
Coyoacán,Ciudad Jardin,24,82,3.0,24.0,False,False,False,False,False,False,False,False,0.17711162911190798,False,False,False,False
Coyoacán,Ciudad Universitaria,13,230,0.0,42.0,False,False,True,False,False,False,False,False,0.10981121714731928,False,True,False,False
Coyoacán,Copilco El Alto,6,37,0.0,15.0,False,False,False,False,False,False,False,False,0.21456835829992377,False,False,False,False
Coyoacán,Copilco El Bajo,7,88,1.0,24.0,False,False,False,False,False,False,False,False,0.1960049071548403,False,False,False,False
Coyoacán,Copilco Universidad,5,76,0.0,22.0,False,False,False,False,False,False,False,False,0.19856103012425397,False,False,False,False
Coyoacán,Cuadrante De San Francisco,12,108,5.0,28.0,False,False,False,False,False,False,False,False,0.14571176359033983,False,False,False,False
Coyoacán,Culhuacan C.T.M. Secciën X,30,57,7.0,21.0,False,False,False,False,True,False,False,False,0.13421529720024444,False,True,False,False
Coyoacán,Culhuacan Ctm Canal Nacional,12,49,2.0,8.0,False,False,False,False,False,False,False,False,0.19624908819075054,False,False,False,False
Coyoacán,Culhuacan Ctm Croc,21,34,0.0,3.0,False,False,False,False,False,False,False,False,0.19603901218665698,False,False,False,False
Coyoacán,Culhuacan Ctm Seccion Iii,9,15,1.0,5.0,False,False,False,False,False,False,False,False,0.2057641126010531,False,False,False,False
Coyoacán,Culhuacan Ctm Seccion Ix-A,19,48,9.0,14.0,False,False,False,False,True,False,False,False,0.09735592292055373,False,True,False,False
Coyoacán,Culhuacan Ctm Seccion Ix-B,37,47,6.0,18.0,False,False,False,False,True,False,False,False,0.1286604238875862,False,True,False,False
Coyoacán,Culhuacan Ctm Seccion Piloto,11,33,0.0,14.0,False,False,False,False,False,False,False,False,0.2116974442302874,False,False,False,False
Coyoacán,Culhuacan Ctm Seccion V,56,103,13.0,42.0,False,False,False,False,True,False,False,False,0.010874621025944942,False,True,False,False
Coyoacán,Culhuacan Ctm Seccion Vi,12,79,3.0,24.0,False,False,False,False,False,False,False,False,0.18212587175358913,False,False,False,False
Coyoacán,Culhuacan Ctm Seccion Vii,15,70,2.0,21.0,False,False,False,False,False,False,False,False,0.192039339443291,False,False,False,False
Coyoacán,Culhuacan Ctm Seccion Viii,32,128,4.0,44.0,False,False,False,False,False,False,False,False,0.13824185868906735,False,False,False,False
Coyoacán,Culhuacan Ctm Seccion X-A,14,27,2.0,8.0,False,False,False,False,False,False,False,False,0.198296985168102,False,False,False,False
Coyoacán,Del Carmen,70,427,10.0,128.0,True,False,True,False,True,False,True,False,-0.03382865305728999,True,True,False,True
Coyoacán,Educacion,43,94,6.0,27.0,False,False,False,False,True,False,False,False,0.13120644895165368,False,True,False,False
Coyoacán,El Caracol,5,35,0.0,8.0,False,False,False,False,False,False,False,False,0.22095391749071963,False,False,False,False
Coyoacán,El Centinela,7,44,1.0,15.0,False,False,False,False,False,False,False,False,0.21306076150097775,False,False,False,False
Coyoacán,El Mirador,2,25,0.0,5.0,False,False,False,False,False,False,False,False,0.2188578673319908,False,False,False,False
Coyoacán,El Parque De Coyoacan,6,19,1.0,7.0,False,False,False,False,False,False,False,False,0.2110129686041809,False,False,False,False
Coyoacán,El Reloj,10,30,2.0,6.0,False,False,False,False,False,False,False,False,0.19790950718709693,False,False,False,False
Coyoacán,El Rosario,6,26,2.0,8.0,False,False,False,False,False,False,False,False,0.19765180893301526,False,False,False,False
Coyoacán,El Rosedal,14,88,1.0,31.0,False,False,False,False,False,False,False,False,0.1896617123970189,False,False,False,False
Coyoacán,Emiliano Zapata,5,21,1.0,6.0,False,False,False,False,False,False,False,False,0.21258233076138028,False,False,False,False
Coyoacán,Emiliano Zapata Fraccionamiento Popular,10,63,1.0,19.0,False,False,False,False,False,False,False,False,0.20706492434729612,False,False,False,False
Coyoacán,Espartaco,23,70,1.0,21.0,False,False,False,False,False,False,False,False,0.1964667215747537,False,False,False,False
Coyoacán,Ex Ejido San Pablo Tepetlapa,9,26,1.0,5.0,False,False,False,False,False,False,False,False,0.21049001517029886,False,False,False,False
Coyoacán,Ex Hacienda Coapa,10,51,0.0,19.0,False,False,False,False,False,False,False,False,0.21223038096405045,False,False,False,False
Coyoacán,Ex-Ejido De San Francisco Culhuacan,14,163,1.0,56.0,False,False,False,False,False,False,False,False,0.13401852326865116,False,False,False,False
Coyoacán,Ex-Hacienda De Guadalupe Chimalistac,1,1,0.0,0.0,False,False,False,False,False,False,False,False,0.16508938421146796,False,False,False,False
Coyoacán,Haciendas De Coyoacan,5,45,0.0,12.0,False,False,False,False,False,False,False,False,0.21788888124734734,False,False,False,False
Coyoacán,Hermosillo,6,13,1.0,3.0,False,False,False,False,False,False,False,False,0.19843027403851338,False,False,False,False
Coyoacán,Huayamilpas,9,29,3.0,10.0,False,False,False,False,False,False,False,False,0.1852457116823646,False,False,False,False
Coyoacán,Insurgentes Cuicuilco,17,318,0.0,73.0,False,False,True,False,False,False,True,False,0.04451825623400696,False,True,False,False
Coyoacán,Jardines De Coyoacan,7,41,1.0,14.0,False,False,False,False,False,False,False,False,0.20972143273687044,False,False,False,False
Coyoacán,Jardines Del Pedregal De San Angel,5,65,0.0,13.0,False,False,False,False,False,False,False,False,0.20894694970708466,False,False,False,False
Coyoacán,Los Cedros,9,14,1.0,3.0,False,False,False,False,False,False,False,False,0.1970489918725204,False,False,False,False
Coyoacán,Los Cipreses,10,103,0.0,24.0,False,False,False,False,False,False,False,False,0.18782895228037982,False,False,False,False
Coyoacán,Los Girasoles,28,106,4.0,22.0,False,False,False,False,False,False,False,False,0.15437664194313216,False,False,False,False
Coyoacán,Los Olivos,9,6,6.0,2.0,False,False,False,False,True,False,False,False,0.10691858610210836,False,True,False,False
Coyoacán,Los Sauces,5,36,0.0,14.0,False,False,False,False,False,False,False,False,0.21396733532137013,False,False,False,False
Coyoacán,Nueva Diaz Ordaz,2,16,0.0,7.0,False,False,False,False,False,False,False,False,0.2180970945862047,False,False,False,False
Coyoacán,Olimpica,6,14,0.0,6.0,False,False,False,False,False,False,False,False,0.21265676685130291,False,False,False,False
Coyoacán,Parque San Andres,64,154,2.0,50.0,True,False,False,False,False,False,False,False,0.12806875970946535,False,True,False,False
Coyoacán,Paseos De Taxqueña,63,141,12.0,37.0,True,False,False,False,True,False,False,False,0.02420731939071752,False,True,False,False
Coyoacán,Pedregal De Carrasco,54,237,8.0,66.0,False,False,True,False,True,False,True,False,0.06871110419182386,False,True,False,False
Coyoacán,Pedregal De Santa Ursula,119,429,26.0,139.0,True,False,True,False,True,True,True,False,-0.12961495443119664,True,True,True,True
Coyoacán,Pedregal De Santo Domingo,235,1033,50.0,322.0,True,False,True,True,True,True,True,True,-0.2507364158522941,True,True,True,True
