alcaldia_catalogo,colonia_catalogo,total_incidencias,total_delitos,total_falla_alumbrado,total_delitos_nocturnos
Coyoacán,San Francisco Culhuacan Barrio De Santa Ana,20,35,13.0,5.0
Coyoacán,San Mateo,4,26,1.0,13.0
Coyoacán,Santa Cecilia,9,26,1.0,5.0
Coyoacán,Viejo Ejido Santa Ursula Coapa,26,133,5.0,48.0
Coyoacán,Villa Coyoacan,10,107,0.0,35.0
Coyoacán,Villa Quietud,18,76,1.0,23.0
Coyoacán,Xotepingo,12,34,1.0,13.0
Cuajimalpa De Morelos,Abdias Garcia Soto,1,8,0.0,3.0
Cuajimalpa De Morelos,Adolfo Lopez Mateos,18,22,4.0,5.0
Cuajimalpa De Morelos,Agua Bendita,1,2,1.0,1.0
Cuajimalpa De Morelos,Ahuatenco,1,2,0.0,1.0
Cuajimalpa De Morelos,Amado Nervo,3,5,1.0,1.0
Cuajimalpa De Morelos,Bosques De Las Lomas,35,167,8.0,35.0
Cuajimalpa De Morelos,Contadero,6,133,0.0,34.0
Cuajimalpa De Morelos,Cruz Blanca,1,4,1.0,0.0
Cuajimalpa De Morelos,Cuajimalpa,51,312,5.0,70.0
Cuajimalpa De Morelos,El Ebano,2,7,0.0,2.0
Cuajimalpa De Morelos,El Molinito,1,4,0.0,0.0
Cuajimalpa De Morelos,El Yaqui,7,49,0.0,20.0
Cuajimalpa De Morelos,Granjas Navidad,16,102,5.0,23.0
Cuajimalpa De Morelos,Jesus Del Monte,16,101,3.0,19.0
Cuajimalpa De Morelos,La Manzanita,17,53,8.0,12.0
Cuajimalpa De Morelos,La Pila,5,25,0.0,6.0
Cuajimalpa De Morelos,Las Maromas,9,31,6.0,11.0
Cuajimalpa De Morelos,Locaxco,3,10,0.0,6.0
Cuajimalpa De Morelos,Loma Del Padre,5,43,2.0,16.0
Cuajimalpa De Morelos,Lomas De Memetla,2,20,1.0,5.0
Cuajimalpa De Morelos,Lomas De Sn Pedro,1,9,0.0,4.0
Cuajimalpa De Morelos,Lomas De Vista Hermosa,18,85,3.0,25.0
Cuajimalpa De Morelos,Manzanastitla,3,9,0.0,2.0
Cuajimalpa De Morelos,Memetla,2,11,0.0,1.0
Cuajimalpa De Morelos,Paseo De Las Lomas,18,19,7.0,2.0
Cuajimalpa De Morelos,Pueblo San Lorenzo Acopilco,5,111,1.0,26.0
Cuajimalpa De Morelos,Pueblo San Mateo Tlaltenango,11,145,5.0,40.0
Cuajimalpa De Morelos,Pueblo San Pablo Chimalpa,1,59,1.0,16.0
Cuajimalpa De Morelos,Pueblo Santa Rosa Xochiac,2,14,0.0,3.0
Cuajimalpa De Morelos,San Jose De Los Cedros,27,103,1.0,28.0
Cuajimalpa De Morelos,San Pedro,7,36,2.0,7.0
Cuajimalpa De Morelos,Santa Fe Cuajimalpa,55,349,1.0,65.0
Cuajimalpa De Morelos,Tepetongo,3,2,0.0,1.0
Cuajimalpa De Morelos,Xalpa,7,18,1.0,3.0
Cuajimalpa De Morelos,Zentlapatl,10,65,2.0,23.0
Cuauhtémoc,Algarin,29,137,5.0,33.0
Cuauhtémoc,Ampl. Asturias,35,173,4.0,48.0
Cuauhtémoc,Asturias,75,76,5.0,20.0
Cuauhtémoc,Atlampa,46,220,4.0,53.0
Cuauhtémoc,Buenavista,75,812,7.0,192.0
Cuauhtémoc,Buenos Aires,21,105,1.0,42.0
Cuauhtémoc,Centro,454,4067,40.0,891.0
Cuauhtémoc,Condesa,68,263,5.0,77.0
Cuauhtémoc,Cuauhtemoc,111,687,21.0,157.0
Cuauhtémoc,Doctores,510,2339,199.0,403.0
Cuauhtémoc,Esperanza,14,60,1.0,17.0
Cuauhtémoc,Ex Hipodromo De Peralvillo,77,273,3.0,66.0
Cuauhtémoc,Felipe Pescador,6,50,0.0,19.0
Cuauhtémoc,Guerrero,136,903,17.0,277.0
Cuauhtémoc,Hipodromo,173,764,17.0,208.0
Cuauhtémoc,Hipodromo Condesa,40,161,2.0,46.0
Cuauhtémoc,Juarez,97,1315,5.0,380.0
Cuauhtémoc,Maza,3,31,0.0,9.0
Cuauhtémoc,Morelos,101,819,12.0,175.0
Cuauhtémoc,Nonoalco Tlatelolco,120,492,38.0,124.0
Cuauhtémoc,Obrera,148,677,17.0,196.0
Cuauhtémoc,Paulino Navarro,21,51,1.0,18.0
Cuauhtémoc,Peralvillo,51,297,9.0,74.0
Cuauhtémoc,Roma Norte,222,1359,19.0,432.0
Cuauhtémoc,Roma Sur,133,611,12.0,169.0
Cuauhtémoc,San Rafael,88,441,9.0,124.0
Cuauhtémoc,San Simon Tolnahuac,142,252,8.0,68.0
Cuauhtémoc,Santa Maria Insurgentes,29,66,3.0,20.0
Cuauhtémoc,Santa Maria La Ribera,181,750,34.0,186.0
Cuauhtémoc,Tabacalera,33,351,2.0,91.0
Cuauhtémoc,Transito,61,288,5.0,84.0
Cuauhtémoc,Valle Gomez,28,117,1.0,37.0
Cuauhtémoc,Vista Alegre,13,111,3.0,31.0
Gustavo A. Madero,15 De Agosto,2,49,0.0,17.0
Gustavo A. Madero,25 De Julio,13,34,2.0,21.0
Gustavo A. Madero,6 De Junio,3,12,0.0,3.0
Gustavo A. Madero,7 De Noviembre,8,68,2.0,20.0
Gustavo A. Madero,Acueducto De Guadalupe,29,114,4.0,27.0
Gustavo A. Madero,Ahuehuetes,6,26,1.0,14.0
Gustavo A. Madero,Ampliacion Arboledas,9,4,2.0,0.0
Gustavo A. Madero,Ampliacion Benito Juarez,4,13,0.0,3.0
